List of GSM companies w.e.f 06.06.2019,,
Sr. No.,Security Name,ISIN
321,JIK Industries Ltd,INE026B01049
322,Jindal Capital Ltd,INE356F01017
323,JJ Exporters Ltd,INE408B01015
324,JRI Industries & Infrastructure Ltd,INE022M01029
325,JSL Industries Ltd,INE581L01018
326,Jupiter Industries & Leasing Ltd,INE990E01016
327,Justride Enterprises Ltd,INE432F01024
328,Jyoti Ltd,INE511D01012
329,Jyoti Overseas Ltd,INE432D01011
330,Jyoti Structures Ltd,INE197A01024
331,Jyotirgamya Enterprises Ltd,INE805R01018
332,K K Fincorp Ltd,INE509J01013
333,Kabra Drugs Ltd,INE323K01017
334,Kaiser Corporation Ltd,INE229G01022
335,Kakatiya Textiles Ltd,INE092E01011
336,Kamron Laboratories Ltd,INE276T01018
337,Kanel Industries Ltd,INE252C01015
338,Kapashi Commercial Ltd,INE017I01019
339,Kapil Cotex Ltd,INE393H01016
340,Kapil Raj Finance Ltd,INE332Q01015
341,Karan Woo Sin Ltd,INE327D01013
342,Kartik Investments Trust Ltd,INE524U01019
343,Katare Spinning Mills Ltd,INE498G01015
344,Kausambi Vanijya Ltd,INE223P01026
345,Kavita Fabrics Ltd,INE149O01018
346,KCCL Plastic Ltd,INE100L01025
347,KGN Enterprises Ltd,INE755B01019
348,Khaitan Electricals Ltd,INE761A01019
349,Khatau Exim Ltd,INE092P01017
350,Khyati Multimedia Entertainment Ltd,INE593B01030
351,Kiduja India Ltd,INE845A01010
352,Kilburn Office Automation Ltd,INE793E01014
353,Kinetic Trust Ltd,INE674M01019
354,Kintech Renewables Ltd,INE385F01016
355,Kiran Print Pack Ltd,INE516D01011
356,Kiran Syntex Ltd,INE293D01017
357,K-Lifestyle & Industries Ltd,INE218A01028
358,KLK Electrical Ltd,INE125G01014
359,KMG Milk Food Ltd,INE873N01015
360,Koa Tools India Ltd,INE316B01036
361,Koffee Break Pictures Ltd,INE208D01023
362,Kohinoor Broadcasting Corporation Ltd,INE414E01017
363,Kore Foods Ltd,INE601A01017
364,Kreon Finnancial Services Ltd,INE302C01018
365,Kshitij Investments Ltd,NA
366,Kunststoffe Industries Ltd,INE638D01021
367,Kush Industries Ltd,INE979D01011
368,Lakhotia Polyesters (India) Ltd,INE191O01010
369,Laser Diamonds Ltd,INE995E01015
370,Layla Textile and Traders Ltd,INE914Q01010
371,Ledo Tea Company Ltd,INE643B01017
372,Lee & Nee Softwares Exports Ltd,INE791B01014
373,Leena Consultancy Ltd,INE778N01016
374,Arihant Tournesol Ltd,INE00HZ01011
375,LGB Forge Ltd,INE201J01017
376,Linaks Microelectronics Ltd,INE028C01027
377,LN Industries India Ltd,INE366C01013
378,Lotus Chocolate Company Ltd,INE026D01011
379,Lynx Machinery & Commercials Ltd,INE732D01014
380,Macro International Exports Ltd,INE307N01014
381,Madhur Industries Ltd,INE110C01015
382,Mahalaxmi Seamless Ltd,INE257F01017
383,Mahasagar Travels Ltd,INE007G01014
384,Mahaveer Infoway Ltd,INE019D01016
385,Mahavir Industries Ltd,INE987M01023
386,Mangalya Soft Tech Ltd,INE820B01011
387,Manraj Housing Finance Ltd,INE948I01015
388,Manvijay Development Company Ltd,INE945P01016
389,Margo Finance Ltd,INE680B01019
390,Marsons Ltd,INE415B01036
391,Maruti Securities Ltd,INE368C01019
392,Master Chemicals Ltd,INE523D01017
393,Mather and Platt Fire Systems Ltd,INE095E01022
394,Mavi Industries Ltd,INE073A01019
395,Mayukh Dealtrade Ltd,INE280E01012
396,Bijoy Hans Ltd,INE491D01017
397,Mayur Leather Products Ltd,INE799E01011
398,MB Parikh Finstocks Ltd,INE377D01018
399,Medico Intercontinental Ltd,INE858Q01019
400,Meenakshi Steel Industries Ltd,NA
401,Mefcom Agro Industries Ltd,INE188C01011
402,Mega Fin India Ltd,INE524D01015
403,Meglon Infra-Real (India) Ltd,INE218B01018
404,Mehta Housing Finance Ltd,INE239B01014
405,Mehta Securities Ltd,INE241B01010
406,Melstar Information Technologies Ltd,INE817A01019
407,Mena Mani Industries Ltd,INE148B01025
408,Mercury Metals Ltd,INE763M01028
409,Mercury Trade Links Ltd,INE319T01016
410,Mesco Pharmaceuticals Ltd,INE839X01015
411,Metkore Alloys & Industries Ltd,INE592I01029
412,Mewat Zinc Ltd,INE235U01012
413,MFL India Ltd,INE244C01020
414,MFS Intercorp Ltd,INE614F01019
415,Microse India Ltd,INE809F01015
416,Mid East Portfolio Management Ltd,INE033E01015
417,Mid India Industries Ltd,INE401C01018
418,Midwest Gold Ltd,INE519N01014
419,Milgrey Finance & Investments Ltd,INE679T01013
420,Millennium Online Solutions ( India ) Ltd,INE570N01025
421,Mini Diamonds India Ltd,INE281E01010
422,Mipco Seamless Rings Gujarat Ltd,INE860N01012
423,Mirch Technologies (India) Ltd,INE098E01018
424,Mobile Tele Communications Ltd,INE770B01026
425,Modern Dairies Ltd,INE617B01011
426,Modern Steels Ltd,INE001F01019
427,Modipon Ltd,INE170C01019
428,Monnet Industries Ltd,INE407E01029
429,Monotype India Ltd,INE811D01024
